   ID JPA3518 JPA3785 JPA3900 JPA4000 JPA4100 JPA4200 JPA4300 JPA4400 JPA4500 JPA4600 JPA4700 JPA4800 JPA4900 JPA5000 JPA5100 JPA5200 JPA5300 JPA5400 JPA5500 JPA5600 JPA5700 JPA5800 JPA5900 JPA6000 JPA6100 JPA6200 JPA6300 JPA6400
   1 -17.368 -17.577 -17.784 -17.910 -18.059 -18.348 -18.411 -18.446 -18.626 -18.872 -18.982 -19.158 -19.291 -19.359 -19.473 -19.700 -19.765 -19.833 -19.812 -19.938 -19.988 -20.158 -20.258 -20.396 -20.434 -20.612 -20.869 -21.096
   1   0.008   0.012   0.014   0.012   0.014   0.015   0.013   0.014   0.013   0.014   0.014   0.013   0.013   0.014   0.014   0.014   0.013   0.014   0.014   0.014   0.014   0.015   0.013   0.013   0.013   0.014   0.015   0.014
   2 -18.166 -18.558 -18.766 -18.901 -19.057 -19.269 -19.347 -19.399 -19.503 -19.626 -19.774 -19.925 -20.063 -20.224 -20.556 -20.693 -20.781 -20.831 -20.900 -21.072 -21.208 -21.287 -21.335 -21.413 -21.448 -21.453 -21.533 -21.538
   2   0.006   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009   0.009   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009
   3 -17.222 -17.744 -18.137 -18.261 -18.503 -18.709 -18.930 -19.119 -19.189 -19.271 -19.372 -19.533 -19.685 -19.755 -19.837 -19.955 -20.390 -20.604 -20.671 -20.746 -20.803 -20.979 -21.125 -21.252 -21.333 -21.373 -21.450 -21.478
   3   0.005   0.009   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.008
   4 -19.006 -19.179 -19.097 -19.248 -19.417 -19.517 -19.589 -19.612 -19.742 -19.875 -19.901 -19.928 -19.973 -20.020 -20.126 -20.311 -20.373 -20.462 -20.537 -20.763 -20.884 -20.926 -20.994 -21.016 -21.083 -21.165 -21.260 -21.323
   4   0.000   0.000   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.001   0.002   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
   5 -17.179 -17.628 -17.649 -17.913 -18.286 -18.413 -18.596 -18.782 -18.922 -19.170 -19.283 -19.351 -19.430 -19.533 -19.688 -19.814 -19.916 -19.996 -20.144 -20.456 -20.708 -20.763 -20.841 -20.874 -20.978 -21.140 -21.277 -21.365
   5   0.001   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
   6 -18.756 -19.076 -19.207 -19.380 -19.449 -19.527 -19.602 -19.720 -19.857 -20.045 -20.251 -20.442 -20.710 -20.775 -20.868 -20.882 -20.990 -21.142 -21.229 -21.288 -21.338 -21.404 -21.403 -21.463 -21.477 -21.515 -21.525 -21.627
   6   0.005   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.009
   7 -16.533 -16.797 -17.025 -17.428 -17.642 -17.561 -17.760 -18.211 -18.403 -18.536 -18.734 -18.877 -19.010 -19.266 -19.317 -19.387 -19.429 -19.538 -19.648 -19.831 -19.883 -19.952 -20.060 -20.201 -20.587 -20.721 -20.786 -20.851
   7   0.002   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
