  ID  JPA6500 JPA6600 JPA6700 JPA6800 JPA6900 JPA7000 JPA7100 JPA7200 JPA7300 JPA7400 JPA7500 JPA7600 JPA7700 JPA7800 JPA7900 JPA8000 JPA8100 JPA8200 JPA8300 JPA8400 JPA8500 JPA8600 JPA8700 JPA8800 JPA8900 JPA9000 JPA9100
   1 -21.138 -21.209 -21.264 -21.260 -21.403 -21.524 -21.649 -21.699 -21.718 -21.776 -21.868 -21.863 -21.843 -21.945 -21.932 -21.951 -21.959 -21.976 -22.076 -22.147 -22.203 -22.224 -22.240 -22.273 -22.317 -22.381 -22.422
   1   0.014   0.014   0.014   0.012   0.013   0.014   0.013   0.013   0.014   0.014   0.013   0.013   0.015   0.014   0.015   0.014   0.015   0.014   0.013   0.013   0.014   0.014   0.015   0.014   0.014   0.014   0.013
   2 -21.556 -21.584 -21.695 -21.770 -21.804 -21.839 -21.874 -21.927 -21.982 -22.029 -22.011 -22.055 -22.109 -22.093 -22.106 -22.130 -22.180 -22.225 -22.218 -22.243 -22.246 -22.280 -22.310 -22.348 -22.389 -22.391 -22.383
   2   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008
   3 -21.522 -21.586 -21.602 -21.594 -21.636 -21.763 -21.852 -21.877 -21.910 -21.964 -21.986 -22.031 -22.104 -22.093 -22.140 -22.190 -22.217 -22.189 -22.212 -22.279 -22.327 -22.338 -22.357 -22.387 -22.386 -22.413 -22.449
   3   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.007   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.009   0.009   0.009   0.009   0.009   0.008   0.008   0.009   0.008
   4 -21.372 -21.401 -21.452 -21.478 -21.504 -21.538 -21.542 -21.529 -21.570 -21.655 -21.709 -21.703 -21.723 -21.800 -21.825 -21.867 -21.912 -21.920 -21.928 -21.980 -22.017 -22.016 -22.012 -22.042 -22.084 -22.120 -22.189
   4   0.002   0.002   0.002   0.002   0.002   0.003   0.002   0.002   0.002   0.002   0.002   0.003   0.003   0.003   0.003   0.003   0.002   0.003   0.002   0.003   0.003   0.003   0.002   0.002   0.003   0.003   0.002
   5 -21.431 -21.470 -21.549 -21.557 -21.609 -21.652 -21.668 -21.674 -21.696 -21.815 -21.901 -21.928 -21.958 -21.997 -22.027 -22.072 -22.127 -22.158 -22.148 -22.206 -22.247 -22.257 -22.242 -22.261 -22.311 -22.353 -22.375
   5   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
   6 -21.698 -21.721 -21.760 -21.782 -21.830 -21.888 -21.913 -21.933 -21.984 -21.996 -21.976 -21.996 -22.053 -22.104 -22.102 -22.108 -22.135 -22.157 -22.175 -22.211 -22.251 -22.245 -22.250 -22.302 -22.361 -22.408 -22.439
   6   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.007   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008
   7 -20.882 -20.999 -21.155 -21.298 -21.389 -21.452 -21.482 -21.556 -21.606 -21.605 -21.688 -21.690 -21.721 -21.712 -21.742 -21.862 -21.948 -21.987 -22.012 -22.055 -22.081 -22.127 -22.177 -22.231 -22.234 -22.235 -22.297
   7   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
   8 -21.181 -21.268 -21.319 -21.413 -21.435 -21.509 -21.571 -21.598 -21.610 -21.638 -21.766 -21.876 -21.930 -21.953 -22.004 -22.056 -22.086 -22.152 -22.212 -22.201 -22.261 -22.316 -22.353 -22.339 -22.342 -22.410 -22.473
   8   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008
   9 -21.608 -21.742 -21.844 -21.903 -21.971 -22.009 -22.054 -22.054 -22.164 -22.148 -22.137 -22.125 -22.192 -22.299 -22.371 -22.378 -22.471 -22.517 -22.507 -22.568 -22.601 -22.616 -22.625 -22.674 -22.713 -22.772 -22.728
   9   0.010   0.010   0.010   0.011   0.011   0.010   0.011   0.011   0.010   0.010   0.011   0.012   0.012   0.011   0.011   0.012   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.011   0.010   0.011   0.011
  10 -21.393 -21.431 -21.462 -21.473 -21.515 -21.528 -21.534 -21.530 -21.599 -21.661 -21.677 -21.662 -21.731 -21.761 -21.796 -21.836 -21.872 -21.865 -21.907 -21.938 -21.950 -21.944 -21.962 -22.000 -22.033 -22.050 -22.401
  10   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.003   0.003   0.002   0.003   0.002   0.002   0.003   0.003   0.002
  11 -21.574 -21.682 -21.748 -21.765 -21.800 -21.811 -21.859 -21.916 -21.958 -21.983 -22.025 -22.027 -21.998 -22.023 -22.074 -22.138 -22.152 -22.142 -22.155 -22.172 -22.175 -22.208 -22.230 -22.279 -22.255 -22.293 -22.343
  11   0.017   0.017   0.017   0.017   0.015   0.017   0.015   0.016   0.016   0.016   0.015   0.015   0.017   0.017   0.016   0.015   0.016   0.015   0.016   0.015   0.017   0.016   0.018   0.017   0.017   0.016   0.016
  12 -21.567 -21.583 -21.610 -21.597 -21.700 -21.804 -21.852 -21.876 -21.920 -21.956 -21.998 -22.061 -22.068 -22.083 -22.148 -22.187 -22.180 -22.173 -22.224 -22.275 -22.301 -22.297 -22.331 -22.344 -22.364 -22.397 -22.445
  12   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  13 -21.505 -21.524 -21.598 -21.620 -21.634 -21.633 -21.742 -21.847 -21.886 -21.904 -21.952 -21.991 -22.019 -22.085 -22.098 -22.105 -22.166 -22.208 -22.211 -22.186 -22.240 -22.294 -22.331 -22.328 -22.356 -22.378 -22.382
  13   0.008   0.008   0.009   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.009
  14 -20.437 -20.427 -20.545 -20.578 -20.684 -20.824 -21.293 -21.383 -21.467 -21.517 -21.610 -21.649 -21.822 -21.915 -22.045 -22.154 -22.230 -22.300 -22.321 -22.403 -22.464 -22.454 -22.536 -22.594 -22.626 -22.644 -22.625
  14   0.008   0.009   0.009   0.007   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.007   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008
  15 -21.115 -21.216 -21.299 -21.343 -21.436 -21.461 -21.503 -21.589 -21.622 -21.652 -21.645 -21.743 -21.865 -21.931 -21.954 -21.998 -22.055 -22.085 -22.132 -22.203 -22.211 -22.227 -22.296 -22.340 -22.355 -22.329 -22.375
  15   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.009   0.008   0.009   0.008   0.007   0.008   0.008   0.008   0.008   0.009   0.009
  16 -21.316 -21.430 -21.521 -21.574 -21.618 -21.637 -21.690 -21.673 -21.687 -21.744 -21.741 -21.762 -21.722 -21.794 -21.864 -21.906 -21.922 -21.954 -21.979 -21.998 -22.036 -22.072 -22.093 -22.071 -22.120 -22.146 -22.153
  16   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  17 -21.699 -21.537 -21.310 -21.360 -21.453 -21.477 -21.506 -21.591 -21.614 -21.650 -21.684 -21.700 -21.728 -21.763 -21.824 -21.819 -21.796 -21.859 -21.905 -21.906 -22.100 -22.208 -21.976 -21.983 -21.949 -22.016 -22.081
  17   0.014   0.015   0.020   0.021   0.021   0.023   0.022   0.022   0.022   0.023   0.022   0.023   0.023   0.023   0.024   0.023   0.022   0.022   0.023   0.024   0.019   0.020   0.024   0.025   0.025   0.024   0.021
  18 -21.574 -21.592 -21.587 -21.630 -21.754 -21.829 -21.855 -21.897 -21.941 -21.970 -22.024 -22.072 -22.065 -22.123 -22.164 -22.174 -22.154 -22.193 -22.248 -22.291 -22.290 -22.310 -22.338 -22.346 -22.374 -22.415 -22.458
  18   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  19 -21.510 -21.532 -21.545 -21.647 -21.718 -21.743 -21.783 -21.814 -21.849 -21.901 -21.949 -21.954 -21.999 -22.035 -22.042 -22.034 -22.065 -22.113 -22.157 -22.155 -22.164 -22.205 -22.222 -22.247 -22.282 -22.320 -22.332
  19   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  20 -20.351 -20.757 -20.820 -20.884 -20.944 -20.965 -21.065 -21.222 -21.343 -21.453 -21.513 -21.568 -21.606 -21.679 -21.711 -21.710 -21.796 -21.787 -21.820 -21.831 -21.819 -21.926 -22.008 -22.061 -22.089 -22.121 -22.162
  20   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  21 -21.456 -21.513 -21.512 -21.564 -21.570 -21.607 -21.723 -21.769 -21.799 -21.832 -21.844 -21.881 -21.947 -22.000 -22.010 -22.061 -22.077 -22.062 -22.042 -22.094 -22.146 -22.216 -22.222 -22.211 -22.234 -22.249 -22.261
  21   0.017   0.017   0.017   0.016   0.016   0.016   0.016   0.017   0.016   0.016   0.016   0.016   0.017   0.015   0.017   0.017   0.016   0.017   0.017   0.017   0.016   0.017   0.017   0.018   0.017   0.017   0.017
  22 -21.442 -21.587 -21.703 -21.750 -21.808 -21.881 -21.924 -22.004 -22.058 -22.080 -22.159 -22.219 -22.230 -22.235 -22.309 -22.381 -22.415 -22.443 -22.493 -22.511 -22.555 -22.610 -22.675 -22.709 -22.702 -22.756 -22.849
  22   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.009   0.009
  23 -21.710 -21.752 -21.788 -21.826 -21.866 -21.923 -21.972 -21.967 -22.021 -22.063 -22.060 -22.068 -22.104 -22.150 -22.182 -22.178 -22.213 -22.225 -22.255 -22.287 -22.329 -22.345 -22.328 -22.377 -22.442 -22.485 -22.517
  23   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  24 -21.535 -21.582 -21.601 -21.602 -21.650 -21.776 -21.848 -21.879 -21.925 -21.961 -22.003 -22.055 -22.115 -22.102 -22.152 -22.201 -22.215 -22.204 -22.224 -22.273 -22.322 -22.346 -22.345 -22.377 -22.382 -22.412 -22.442
  24   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  25 -21.494 -21.547 -21.556 -21.619 -21.737 -21.791 -21.832 -21.873 -21.903 -21.963 -22.026 -22.059 -22.085 -22.140 -22.167 -22.156 -22.173 -22.222 -22.280 -22.317 -22.304 -22.332 -22.363 -22.390 -22.420 -22.464 -22.508
  25   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.009
  26 -20.816 -20.903 -20.998 -21.073 -21.123 -21.171 -21.242 -21.328 -21.446 -21.729 -21.462 -21.404 -21.450 -21.550 -21.653 -21.692 -21.694 -21.762 -21.831 -21.836 -21.889 -21.967 -21.975 -22.009 -22.064 -22.114 -22.136
  26   0.014   0.016   0.015   0.016   0.017   0.018   0.018   0.018   0.016   0.013   0.017   0.019   0.020   0.020   0.020   0.020   0.022   0.021   0.021   0.022   0.022   0.021   0.021   0.021   0.022   0.020   0.020
  27 -20.391 -20.549 -20.732 -20.898 -21.022 -21.119 -21.177 -21.265 -21.360 -21.385 -21.487 -21.529 -21.578 -21.584 -21.630 -21.764 -21.878 -21.944 -21.973 -22.028 -22.090 -22.122 -22.177 -22.256 -22.277 -22.290 -22.365
  27   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.007   0.008   0.009   0.008   0.008
  28 -21.593 -21.713 -21.774 -21.796 -21.854 -21.892 -21.937 -22.005 -22.008 -22.057 -22.108 -22.129 -22.106 -22.161 -22.227 -22.265 -22.271 -22.308 -22.318 -22.343 -22.387 -22.448 -22.479 -22.468 -22.474 -22.559 -22.617
  28   0.008   0.008   0.008   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.009   0.008   0.008   0.008
  29 -20.005 -19.990 -20.107 -20.133 -20.250 -20.366 -20.396 -20.582 -20.599 -20.744 -20.783 -21.035 -21.241 -21.243 -21.316 -21.348 -21.383 -21.367 -21.509 -21.600 -21.703 -21.759 -21.792 -21.813 -21.844 -21.906 -21.938
  29   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008
  30 -21.340 -21.396 -21.447 -21.526 -21.672 -21.797 -21.898 -21.949 -22.022 -22.057 -22.102 -22.098 -22.153 -22.230 -22.188 -22.194 -22.192 -22.269 -22.375 -22.413 -22.434 -22.532 -22.574 -22.562 -22.620 -22.666 -22.679
  30   0.011   0.010   0.011   0.011   0.011   0.011   0.010   0.010   0.011   0.011   0.011   0.012   0.011   0.010   0.011   0.012   0.011   0.011   0.011   0.011   0.012   0.010   0.010   0.011   0.011   0.011   0.012
  31 -20.284 -20.429 -20.634 -20.843 -20.882 -20.981 -21.027 -21.035 -21.119 -21.264 -21.364 -21.445 -21.474 -21.540 -21.586 -21.650 -21.664 -21.683 -21.753 -21.750 -21.805 -21.849 -21.842 -21.915 -22.007 -22.070 -22.085
  31   0.017   0.016   0.017   0.017   0.015   0.016   0.018   0.016   0.017   0.018   0.016   0.016   0.016   0.019   0.017   0.016   0.015   0.016   0.016   0.016   0.016   0.016   0.016   0.017   0.015   0.016   0.015
  32 -20.876 -20.950 -20.972 -21.059 -21.216 -21.339 -21.435 -21.506 -21.547 -21.584 -21.656 -21.659 -21.705 -21.752 -21.758 -21.793 -21.763 -21.835 -21.937 -22.008 -22.031 -22.058 -22.098 -22.124 -22.156 -22.206 -22.257
  32   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  33 -21.486 -21.452 -21.466 -21.534 -21.570 -21.583 -21.634 -21.674 -21.698 -21.749 -21.794 -21.792 -21.817 -21.847 -21.854 -21.856 -21.890 -21.937 -21.958 -22.216 -22.389 -22.047 -22.081 -22.015 -22.053 -22.087 -22.091
  33   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004   0.004
  34 -21.332 -21.412 -21.454 -21.496 -21.542 -21.595 -21.574 -21.648 -21.646 -21.685 -21.687 -21.701 -21.818 -21.884 -21.898 -21.933 -21.955 -21.971 -22.016 -22.062 -22.107 -22.102 -22.154 -22.178 -22.191 -22.174 -22.183
  34   0.008   0.009   0.009   0.008   0.007   0.008   0.009   0.009   0.008   0.008   0.008   0.008   0.008   0.007   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.009   0.009
  35 -21.612 -21.671 -21.683 -21.740 -21.824 -21.783 -21.814 -21.882 -21.863 -21.893 -21.880 -21.965 -22.040 -22.097 -22.119 -22.140 -22.157 -22.214 -22.250 -22.306 -22.295 -22.284 -22.327 -22.379 -22.337 -22.358 -22.369
  35   0.013   0.013   0.014   0.015   0.014   0.015   0.013   0.014   0.014   0.014   0.014   0.013   0.015   0.015   0.014   0.014   0.014   0.014   0.013   0.014   0.014   0.014   0.014   0.013   0.015   0.015   0.014
  36 -21.847 -21.889 -21.896 -21.925 -22.027 -22.167 -22.217 -22.325 -22.416 -22.425 -22.505 -22.550 -22.587 -22.622 -22.692 -22.779 -22.772 -22.767 -22.859 -22.925 -22.939 -22.986 -23.016 -23.038 -23.037 -23.063 -23.150
  36   0.010   0.010   0.011   0.011   0.010   0.011   0.011   0.010   0.010   0.010   0.010   0.011   0.011   0.010   0.010   0.010   0.010   0.011   0.010   0.010   0.010   0.011   0.011   0.011   0.011   0.011   0.010
  37 -21.536 -21.543 -21.560 -21.678 -21.778 -21.807 -21.835 -21.891 -21.918 -21.968 -22.034 -22.037 -22.083 -22.127 -22.152 -22.125 -22.165 -22.232 -22.285 -22.283 -22.314 -22.338 -22.345 -22.377 -22.428 -22.477 -22.488
  37   0.008   0.009   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008   0.009   0.008   0.008   0.008   0.008
  38 -21.592 -21.661 -21.652 -21.709 -21.707 -21.736 -21.713 -21.748 -21.847 -21.898 -21.916 -21.952 -21.973 -21.998 -22.038 -22.081 -22.073 -22.098 -22.143 -22.167 -22.146 -22.140 -22.170 -22.209 -22.234 -22.217 -22.221
  38   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002   0.002
  39 -21.143 -21.294 -21.398 -21.464 -21.516 -21.547 -21.597 -21.643 -21.621 -21.703 -21.700 -21.734 -21.732 -21.750 -21.849 -21.921 -21.939 -21.966 -21.998 -22.015 -22.049 -22.097 -22.139 -22.137 -22.154 -22.204 -22.229
