   ID g_JPAS  r_JPAS  uj_JPAS J0378   J0395   J0410   J0430   J0515   J0660   J0861   gSDSS   iSDSS   rSDSS   uJAVA   zSDSS    
   1 -19.848 -21.273 -18.069 -17.968 -18.236 -18.509 -18.698 -20.205 -21.519 -22.379 -19.675 -22.022 -20.812 -17.345 -22.316
   1   0.006   0.006   0.009   0.016   0.020   0.015   0.016   0.014   0.019   0.012   0.006   0.006   0.005   0.008   0.004
   2 -20.226 -21.368 -18.686 -18.584 -18.834 -19.084 -19.232 -20.557 -21.548 -22.131 -20.072 -21.890 -21.485 -18.057 -22.269
   2   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.002   0.005   0.003
   3 -20.104 -21.378 -18.409 -18.245 -18.601 -18.877 -19.062 -20.418 -21.577 -22.223 -19.936 -21.952 -21.344 -17.106 -22.389
   3   0.003   0.003   0.005   0.010   0.011   0.008   0.008   0.008   0.009   0.006   0.003   0.003   0.003   0.005   0.003
   4 -20.586 -21.786 -18.982 -18.868 -19.153 -19.403 -19.591 -20.911 -21.969 -22.609 -20.425 -22.356 -21.197 -18.962 -22.118
   4   0.004   0.004   0.006   0.011   0.015   0.010   0.011   0.010   0.012   0.007   0.004   0.004   0.001   0.000   0.001
   5 -20.159 -21.382 -18.512 -18.371 -18.688 -18.954 -19.141 -20.482 -21.567 -22.177 -19.996 -21.930 -21.180 -17.027 -22.318
   5   0.001   0.001   0.001   0.002   0.003   0.002   0.002   0.002   0.002   0.001   0.001   0.001   0.001   0.001   0.001
   6 -20.324 -21.351 -18.921 -18.856 -19.052 -19.251 -19.393 -20.660 -21.512 -22.038 -20.183 -21.825 -21.564 -18.663 -22.066
   6   0.003   0.003   0.004   0.008   0.011   0.007   0.008   0.008   0.009   0.006   0.003   0.003   0.003   0.005   0.003
   7 -20.082 -21.347 -18.457 -18.328 -18.629 -18.895 -19.062 -20.399 -21.545 -22.240 -19.918 -21.953 -20.717 -16.463 -22.228
   7   0.002   0.002   0.002   0.004   0.005   0.004   0.004   0.004   0.005   0.003   0.002   0.001   0.001   0.002   0.001
   8 -19.844 -21.316 -17.961 -17.767 -18.166 -18.475 -18.688 -20.164 -21.554 -22.371 -19.659 -22.028 -20.890 -15.699 -22.398
   8   0.003   0.003   0.005   0.009   0.011   0.007   0.007   0.008   0.009   0.005   0.003   0.003   0.003   0.005   0.003
   9 -20.388 -21.519 -18.925 -18.851 -19.053 -19.294 -19.399 -20.718 -21.708 -22.340 -20.238 -22.069 -21.385 -17.116 -22.696
   9   0.005   0.005   0.008   0.015   0.020   0.013   0.013   0.012   0.015   0.008   0.005   0.005   0.003   0.006   0.003
  10 -20.567 -21.763 -19.008 -18.908 -19.171 -19.405 -19.582 -20.891 -21.946 -22.617 -20.408 -22.349 -21.249 -19.098 -22.058
  10   0.004   0.004   0.006   0.012   0.015   0.010   0.010   0.010   0.012   0.007   0.004   0.004   0.001   0.000   0.001
  11 -20.334 -21.358 -18.919 -18.862 -19.051 -19.263 -19.401 -20.671 -21.523 -22.029 -20.193 -21.827 -21.521 -18.486 -22.140
  11   0.006   0.007   0.008   0.018   0.021   0.015   0.016   0.014   0.018   0.010   0.006   0.006   0.005   0.010   0.006
  12 -20.154 -21.375 -18.525 -18.387 -18.700 -18.957 -19.137 -20.476 -21.563 -22.185 -19.992 -21.929 -21.380 -17.469 -22.358
  12   0.002   0.001   0.002   0.005   0.005   0.004   0.004   0.004   0.005   0.003   0.002   0.001   0.001   0.002   0.001
  13 -20.154 -21.375 -18.528 -18.387 -18.706 -18.959 -19.132 -20.474 -21.566 -22.189 -19.992 -21.928 -21.304 -17.343 -22.350
  13   0.003   0.003   0.005   0.009   0.012   0.008   0.008   0.008   0.009   0.005   0.003   0.003   0.003   0.005   0.003
  14 -20.420 -21.560 -18.879 -18.782 -19.020 -19.289 -19.415 -20.752 -21.747 -22.324 -20.267 -22.080 -20.150 -15.721 -22.628
  14   0.005   0.005   0.008   0.014   0.018   0.012   0.013   0.013   0.016   0.009   0.005   0.005   0.003   0.004   0.002
  15 -19.901 -21.321 -18.086 -17.917 -18.279 -18.566 -18.766 -20.229 -21.552 -22.346 -19.722 -22.011 -20.834 -15.959 -22.351
  15   0.003   0.003   0.005   0.009   0.011   0.008   0.008   0.008   0.009   0.006   0.003   0.003   0.003   0.005   0.003
  16 -20.518 -21.062 -19.774 -19.726 -19.904 -19.931 -19.973 -20.760 -21.048 -21.574 -20.436 -21.505 -21.151 -18.158 -22.101
  16   0.002   0.002   0.002   0.004   0.005   0.004   0.004   0.004   0.005   0.003   0.001   0.002   0.001   0.001   0.001
